model,layer,hidden_dim,gamma,gamma_raw,effective_rank,dead_pct_init_topk,dead_pct_init_relu,dead_pct_init_centered,dead_pct_init_ln_centered,dead_pct_init_pca,domain
esm3,16,1536,10.801088,10.038817,426.6250177686227,97.1435546875,30.94482421875,0.0,0.0,0.0,biology
esm3,17,1536,10.489914,9.765998,441.9650225012477,96.81396484375,29.04052734375,0.0,0.0,0.0,biology
esm3,18,1536,10.134557,9.478895,459.5195184276836,96.64306640625,27.7099609375,0.0,0.0,0.0,biology
esm3,19,1536,9.765966,9.094393,461.92968625133307,96.4111328125,25.8056640625,0.0,0.0,0.0,biology
esm3,20,1536,9.421523,8.835484,470.3546430998403,95.66650390625,22.20458984375,0.0,0.0,0.0,biology
esm3,21,1536,9.150667,8.564794,482.706689910717,95.20263671875,19.2626953125,0.0,0.0,0.0,biology
esm3,22,1536,8.61707,8.0162525,490.1866078645901,94.90966796875,19.81201171875,0.0,0.0,0.0,biology
esm3,23,1536,8.388872,7.7120986,501.8653716188441,95.00732421875,20.3125,0.0,0.0,0.0,biology
esm3,24,1536,7.9905686,7.336412,507.4714026139218,94.32373046875,16.95556640625,0.0,0.0,0.0,biology
esm3,25,1536,7.4895453,6.6254373,522.5194968467606,94.53125,19.04296875,0.0,0.0,0.0,biology
esm3,26,1536,7.1792097,6.3495584,539.103797223383,93.3349609375,15.17333984375,0.0,0.0,0.0,biology
esm3,27,1536,6.498519,5.5560017,566.8667763105008,91.2109375,10.65673828125,0.0,0.0,0.0,biology
esm3,28,1536,5.8284693,4.789825,569.3887024284091,89.501953125,7.861328125,0.0,0.0,0.0,biology
esm3,29,1536,5.14679,4.076801,618.3879947874309,84.4482421875,2.5390625,0.0,0.0,0.0,biology
esm3,30,1536,4.4117007,3.5679374,596.8021898283414,76.91650390625,0.72021484375,0.0,0.0,0.0,biology
esm3,31,1536,3.6334238,3.0457118,640.8019204841754,60.87646484375,0.01220703125,0.0,0.0,0.0,biology
esm3,32,1536,2.955326,2.4605422,692.2002209984349,55.615234375,0.0,0.0,0.0,0.0,biology
esm3,33,1536,2.3728817,2.0393646,783.6341238803623,43.505859375,0.0,0.0,0.0,0.0,biology
esm3,34,1536,2.0627127,1.800481,837.428109340689,32.861328125,0.0,0.0,0.0,0.0,biology
